clip,seizure,early
Patient_2_test_segment_3680.mat,0.0025,0.0025
Patient_2_test_segment_3681.mat,0.01575,0.01375
Patient_2_test_segment_3682.mat,0.012,0.012
Patient_2_test_segment_3683.mat,0.0035,0.0035
Patient_2_test_segment_3684.mat,0.00675,0.00675
Patient_2_test_segment_3685.mat,0.003,0.002
Patient_2_test_segment_3686.mat,0,0
Patient_2_test_segment_3687.mat,0.0005,0.0005
Patient_2_test_segment_3688.mat,0.01325,0.01325
Patient_2_test_segment_3689.mat,0,0
Patient_2_test_segment_369.mat,0.01425,0.0125
Patient_2_test_segment_3690.mat,0.00425,0.00375
Patient_2_test_segment_3691.mat,0.002,0.002
Patient_2_test_segment_3692.mat,0.0015,0.0015
Patient_2_test_segment_3693.mat,0.635,0.24975
Patient_2_test_segment_3694.mat,0.0005,0.0005
Patient_2_test_segment_3695.mat,0.00125,0.00125
Patient_2_test_segment_3696.mat,0.0105,0.0105
Patient_2_test_segment_3697.mat,0.008,0.008
Patient_2_test_segment_3698.mat,0.00125,0.00125
Patient_2_test_segment_3699.mat,0.002,0.002
Patient_2_test_segment_37.mat,0.2855,0.19175
Patient_2_test_segment_370.mat,0.01175,0.0105
Patient_2_test_segment_3700.mat,0.00825,0.00775
Patient_2_test_segment_3701.mat,0.00125,0.00125
Patient_2_test_segment_3702.mat,0.002,0.002
Patient_2_test_segment_3703.mat,0.00025,0.00025
Patient_2_test_segment_3704.mat,0,0
Patient_2_test_segment_3705.mat,0.01175,0.0115
Patient_2_test_segment_3706.mat,0.0055,0.00525
Patient_2_test_segment_3707.mat,0.0025,0.00125
Patient_2_test_segment_3708.mat,0.001,0.001
Patient_2_test_segment_3709.mat,0,0
Patient_2_test_segment_371.mat,0.064,0.06225
Patient_2_test_segment_3710.mat,0,0
Patient_2_test_segment_3711.mat,0.01525,0.01375
Patient_2_test_segment_3712.mat,0.00775,0.0075
Patient_2_test_segment_3713.mat,0.0435,0.039
Patient_2_test_segment_3714.mat,0,0
Patient_2_test_segment_3715.mat,0,0
Patient_2_test_segment_3716.mat,0.00325,0.00325
Patient_2_test_segment_3717.mat,0.013,0.01075
Patient_2_test_segment_3718.mat,0.0005,0.0005
Patient_2_test_segment_3719.mat,0.00025,0.00025
Patient_2_test_segment_372.mat,0.00125,0.00125
Patient_2_test_segment_3720.mat,0.01225,0.01225
Patient_2_test_segment_3721.mat,0.00225,0.00225
Patient_2_test_segment_3722.mat,0.0145,0.0145
Patient_2_test_segment_3723.mat,0.03275,0.022
Patient_2_test_segment_3724.mat,0.003,0.003
Patient_2_test_segment_3725.mat,0.00125,0.00125
Patient_2_test_segment_3726.mat,0.002,0.002
Patient_2_test_segment_3727.mat,0.001,0.001
Patient_2_test_segment_3728.mat,0.00225,0.001
Patient_2_test_segment_3729.mat,0.01575,0.0155
Patient_2_test_segment_373.mat,0,0
Patient_2_test_segment_3730.mat,0.00075,0.00075
Patient_2_test_segment_3731.mat,0.0025,0.0025
Patient_2_test_segment_3732.mat,0.0005,0.0005
Patient_2_test_segment_3733.mat,0.01225,0.0095
Patient_2_test_segment_3734.mat,0,0
Patient_2_test_segment_3735.mat,0.00175,0.00175
Patient_2_test_segment_3736.mat,0.00675,0.00675
Patient_2_test_segment_3737.mat,0.00175,0.001
Patient_2_test_segment_3738.mat,0.02925,0.02575
Patient_2_test_segment_3739.mat,0.0035,0.0035
Patient_2_test_segment_374.mat,0.01675,0.01625
Patient_2_test_segment_3740.mat,0.0005,0.0005
Patient_2_test_segment_3741.mat,0,0
Patient_2_test_segment_3742.mat,0.00175,0.00175
Patient_2_test_segment_3743.mat,0,0
Patient_2_test_segment_3744.mat,0,0
Patient_2_test_segment_3745.mat,0.00025,0.00025
Patient_2_test_segment_3746.mat,0.00075,0.00075
Patient_2_test_segment_3747.mat,0.011,0.01075
Patient_2_test_segment_3748.mat,0.00925,0.00825
Patient_2_test_segment_3749.mat,0.008,0.008
Patient_2_test_segment_375.mat,0,0
Patient_2_test_segment_3750.mat,0.0135,0.012
Patient_2_test_segment_3751.mat,0.0055,0.0055
Patient_2_test_segment_3752.mat,0.0035,0.0035
Patient_2_test_segment_3753.mat,0.00275,0.00275
Patient_2_test_segment_3754.mat,0.0015,0.0015
Patient_2_test_segment_3755.mat,0,0
Patient_2_test_segment_3756.mat,0.00925,0.0085
Patient_2_test_segment_3757.mat,0,0
Patient_2_test_segment_3758.mat,0.01475,0.01375
Patient_2_test_segment_3759.mat,0.0155,0.0155
Patient_2_test_segment_376.mat,0.30875,0.18525
Patient_2_test_segment_3760.mat,0.00575,0.00575
Patient_2_test_segment_3761.mat,0.00775,0.00775
Patient_2_test_segment_3762.mat,0.0045,0.0035
Patient_2_test_segment_3763.mat,0.00275,0.00275
Patient_2_test_segment_3764.mat,0.014,0.014
Patient_2_test_segment_3765.mat,0.01,0.01
Patient_2_test_segment_3766.mat,0.00275,0.0025
Patient_2_test_segment_3767.mat,0.00625,0.00625
Patient_2_test_segment_3768.mat,0.00175,0.00175
Patient_2_test_segment_3769.mat,0.0035,0.0035
Patient_2_test_segment_377.mat,0.00425,0.00425
Patient_2_test_segment_3770.mat,0,0
Patient_2_test_segment_3771.mat,0.001,0.001
Patient_2_test_segment_3772.mat,0.00725,0.007
Patient_2_test_segment_3773.mat,0.04225,0.04075
Patient_2_test_segment_3774.mat,0,0
Patient_2_test_segment_3775.mat,0,0
Patient_2_test_segment_3776.mat,0,0
Patient_2_test_segment_3777.mat,0,0
Patient_2_test_segment_3778.mat,0,0
Patient_2_test_segment_3779.mat,0,0
Patient_2_test_segment_378.mat,0,0
Patient_2_test_segment_3780.mat,0.00275,0.00275
Patient_2_test_segment_3781.mat,0.00275,0.002
Patient_2_test_segment_3782.mat,0,0
Patient_2_test_segment_3783.mat,0.01125,0.0105
Patient_2_test_segment_3784.mat,0.01025,0.01025
Patient_2_test_segment_3785.mat,0.03525,0.03425
Patient_2_test_segment_3786.mat,0,0
Patient_2_test_segment_3787.mat,0.0045,0.0045
Patient_2_test_segment_3788.mat,0.00625,0.006
Patient_2_test_segment_3789.mat,0.00425,0.00425
Patient_2_test_segment_379.mat,0.00025,0.00025
Patient_2_test_segment_3790.mat,0.0165,0.01575
Patient_2_test_segment_3791.mat,0.001,0.001
Patient_2_test_segment_3792.mat,0.00325,0.00325
Patient_2_test_segment_3793.mat,0.014,0.012
Patient_2_test_segment_3794.mat,0.0015,0.0015
Patient_2_test_segment_3795.mat,0.00825,0.00825
Patient_2_test_segment_3796.mat,0.001,0.001
Patient_2_test_segment_3797.mat,0.00375,0.0035
Patient_2_test_segment_3798.mat,0,0
Patient_2_test_segment_3799.mat,0.00075,0.00075
Patient_2_test_segment_38.mat,0.00175,0.00175
Patient_2_test_segment_380.mat,0,0
Patient_2_test_segment_3800.mat,0.00725,0.00725
Patient_2_test_segment_3801.mat,0.00175,0.00175
Patient_2_test_segment_3802.mat,0.001,0.00075
Patient_2_test_segment_3803.mat,0,0
Patient_2_test_segment_3804.mat,0.00125,0.00125
Patient_2_test_segment_3805.mat,0.00125,0.00125
Patient_2_test_segment_3806.mat,0.00725,0.00725
Patient_2_test_segment_3807.mat,0.006,0.006
Patient_2_test_segment_3808.mat,0.00375,0.00375
Patient_2_test_segment_3809.mat,0.00175,0.0005
Patient_2_test_segment_381.mat,0.002,0.002
Patient_2_test_segment_3810.mat,0.00375,0.00375
Patient_2_test_segment_3811.mat,0.00075,0.00075
Patient_2_test_segment_3812.mat,0.00275,0.0015
Patient_2_test_segment_3813.mat,0.00425,0.00425
Patient_2_test_segment_3814.mat,0.00175,0.00175
Patient_2_test_segment_3815.mat,0,0
Patient_2_test_segment_3816.mat,0.015,0.01175
Patient_2_test_segment_3817.mat,0.02075,0.02
Patient_2_test_segment_3818.mat,0.0055,0.00525
Patient_2_test_segment_3819.mat,0.2315,0.0245
Patient_2_test_segment_382.mat,0.0075,0.007
Patient_2_test_segment_3820.mat,0.0085,0.00775
Patient_2_test_segment_3821.mat,0.00525,0.00525
Patient_2_test_segment_3822.mat,0.00125,0.00125
Patient_2_test_segment_3823.mat,0.01075,0.00975
Patient_2_test_segment_3824.mat,0,0
Patient_2_test_segment_3825.mat,0,0
Patient_2_test_segment_3826.mat,0.2695,0.23175
Patient_2_test_segment_3827.mat,0.00675,0
Patient_2_test_segment_3828.mat,0.0025,0.002
Patient_2_test_segment_3829.mat,0.00025,0
Patient_2_test_segment_383.mat,0.0075,0.0075
Patient_2_test_segment_3830.mat,0.00475,0.00275
Patient_2_test_segment_3831.mat,0.00175,0.00175
Patient_2_test_segment_3832.mat,0.0135,0.01225
Patient_2_test_segment_3833.mat,0.0125,0.012
Patient_2_test_segment_3834.mat,0.01375,0.01275
Patient_2_test_segment_3835.mat,0.01075,0.01025
Patient_2_test_segment_3836.mat,0.001,0.001
Patient_2_test_segment_3837.mat,0.001,0.001
Patient_2_test_segment_3838.mat,0.00025,0.00025
Patient_2_test_segment_3839.mat,0.0035,0.0035
Patient_2_test_segment_384.mat,0,0
Patient_2_test_segment_3840.mat,0,0
Patient_2_test_segment_3841.mat,0,0
Patient_2_test_segment_3842.mat,0.0035,0.0035
Patient_2_test_segment_3843.mat,0.00225,0.00225
Patient_2_test_segment_3844.mat,0.394,0.1525
Patient_2_test_segment_3845.mat,0.00425,0.00425
Patient_2_test_segment_3846.mat,0.001,0.00075
Patient_2_test_segment_3847.mat,0.013,0.01125
Patient_2_test_segment_3848.mat,0.016,0.01
Patient_2_test_segment_3849.mat,0.002,0.002
Patient_2_test_segment_385.mat,0.0025,0.00225
Patient_2_test_segment_3850.mat,0.005,0.005
Patient_2_test_segment_3851.mat,0.01375,0.013
Patient_2_test_segment_3852.mat,0.00375,0.00375
Patient_2_test_segment_3853.mat,0.00325,0.00325
Patient_2_test_segment_3854.mat,0.00425,0.00425
Patient_2_test_segment_3855.mat,0.00075,0.00025
Patient_2_test_segment_3856.mat,0.00475,0.00475
Patient_2_test_segment_3857.mat,0.00775,0.00775
Patient_2_test_segment_3858.mat,0.00175,0.00175
Patient_2_test_segment_3859.mat,0.0145,0.01325
Patient_2_test_segment_386.mat,0,0
Patient_2_test_segment_3860.mat,0.0015,0.00125
Patient_2_test_segment_3861.mat,0.00075,0.00075
Patient_2_test_segment_3862.mat,0.017,0.01625
Patient_2_test_segment_3863.mat,0.00125,0.00125
Patient_2_test_segment_3864.mat,0,0
Patient_2_test_segment_3865.mat,0.008,0.00675
Patient_2_test_segment_3866.mat,0.00775,0.0075
Patient_2_test_segment_3867.mat,0.009,0.009
Patient_2_test_segment_3868.mat,0.00225,0.00225
Patient_2_test_segment_3869.mat,0.0045,0.0045
Patient_2_test_segment_387.mat,0.00075,0.00075
Patient_2_test_segment_3870.mat,0.0005,0
Patient_2_test_segment_3871.mat,0.00025,0.00025
Patient_2_test_segment_3872.mat,0.00125,0.00125
Patient_2_test_segment_3873.mat,0.0005,0.0005
Patient_2_test_segment_3874.mat,0.0015,0.0015
Patient_2_test_segment_3875.mat,0.00025,0.00025
Patient_2_test_segment_3876.mat,0.00025,0.00025
Patient_2_test_segment_3877.mat,0.00075,0.00075
Patient_2_test_segment_3878.mat,0.009,0.00775
Patient_2_test_segment_3879.mat,0.012,0.011
Patient_2_test_segment_388.mat,0.00825,0.00825
Patient_2_test_segment_3880.mat,0.001,0.001
Patient_2_test_segment_3881.mat,0.002,0.002
Patient_2_test_segment_3882.mat,0.0895,0.08125
Patient_2_test_segment_3883.mat,0.01125,0.011
Patient_2_test_segment_3884.mat,0,0
Patient_2_test_segment_3885.mat,0.0095,0.00725
Patient_2_test_segment_3886.mat,0.001,0.001
Patient_2_test_segment_3887.mat,0.007,0.007
Patient_2_test_segment_3888.mat,0,0
Patient_2_test_segment_3889.mat,0.0105,0.009
Patient_2_test_segment_389.mat,0.6535,0.42575
Patient_2_test_segment_3890.mat,0,0
Patient_2_test_segment_3891.mat,0.017,0.016
Patient_2_test_segment_3892.mat,0.0075,0.00725
Patient_2_test_segment_3893.mat,0.00075,0.00075
Patient_2_test_segment_3894.mat,0,0
Patient_2_test_segment_39.mat,0.00025,0.00025
Patient_2_test_segment_390.mat,0.0145,0.01375
Patient_2_test_segment_391.mat,0.77625,0.019
Patient_2_test_segment_392.mat,0,0
Patient_2_test_segment_393.mat,0.00275,0.00275
Patient_2_test_segment_394.mat,0.00475,0.00475
Patient_2_test_segment_395.mat,0.46025,0.215
Patient_2_test_segment_396.mat,0.00025,0.00025
Patient_2_test_segment_397.mat,0.02375,0.023
Patient_2_test_segment_398.mat,0.00825,0.00825
Patient_2_test_segment_399.mat,0.01825,0.01675
Patient_2_test_segment_4.mat,0.0155,0.00925
Patient_2_test_segment_40.mat,0.001,0.001
Patient_2_test_segment_400.mat,0.002,0.002
Patient_2_test_segment_401.mat,0.01575,0.0145
Patient_2_test_segment_402.mat,0.00025,0
Patient_2_test_segment_403.mat,0,0
Patient_2_test_segment_404.mat,0,0
Patient_2_test_segment_405.mat,0.002,0.002
Patient_2_test_segment_406.mat,0.00075,0.00075
Patient_2_test_segment_407.mat,0.00525,0.00525
Patient_2_test_segment_408.mat,0.008,0.003
Patient_2_test_segment_409.mat,0,0
Patient_2_test_segment_41.mat,0.02125,0.0195
Patient_2_test_segment_410.mat,0.772,0.6625
Patient_2_test_segment_411.mat,0.0015,0.0015
Patient_2_test_segment_412.mat,0,0
Patient_2_test_segment_413.mat,0.0035,0.0035
Patient_2_test_segment_414.mat,0.00025,0
Patient_2_test_segment_415.mat,0.00075,0.0005
Patient_2_test_segment_416.mat,0.004,0.00275
Patient_2_test_segment_417.mat,0.0005,0.0005
Patient_2_test_segment_418.mat,0.0045,0.00425
Patient_2_test_segment_419.mat,0.00825,0.00825
Patient_2_test_segment_42.mat,0.01175,0.00975
Patient_2_test_segment_420.mat,0.0055,0.0055
Patient_2_test_segment_421.mat,0,0
Patient_2_test_segment_422.mat,0.00025,0.00025
Patient_2_test_segment_423.mat,0,0
Patient_2_test_segment_424.mat,0.0035,0.0035
Patient_2_test_segment_425.mat,0.00025,0.00025
Patient_2_test_segment_426.mat,0.012,0.0105
Patient_2_test_segment_427.mat,0,0
Patient_2_test_segment_428.mat,0.00075,0.00075
Patient_2_test_segment_429.mat,0.0075,0.00675
Patient_2_test_segment_43.mat,0.0005,0.0005
Patient_2_test_segment_430.mat,0.00875,0.008
Patient_2_test_segment_431.mat,0.003,0.003
Patient_2_test_segment_432.mat,0,0
Patient_2_test_segment_433.mat,0.00025,0.00025
Patient_2_test_segment_434.mat,0.01425,0.01425
Patient_2_test_segment_435.mat,0.002,0.002
Patient_2_test_segment_436.mat,0.001,0
Patient_2_test_segment_437.mat,0.0005,0.0005
Patient_2_test_segment_438.mat,0.07,0.04625
Patient_2_test_segment_439.mat,0.82125,0.772
Patient_2_test_segment_44.mat,0.00525,0.00525
Patient_2_test_segment_440.mat,0.002,0.002
Patient_2_test_segment_441.mat,0,0
Patient_2_test_segment_442.mat,0,0
Patient_2_test_segment_443.mat,0.003,0.003
Patient_2_test_segment_444.mat,0.005,0.005
Patient_2_test_segment_445.mat,0.7595,0.4395
Patient_2_test_segment_446.mat,0,0
Patient_2_test_segment_447.mat,0.00025,0.00025
Patient_2_test_segment_448.mat,0.00125,0.00125
Patient_2_test_segment_449.mat,0.5265,0.05975
Patient_2_test_segment_45.mat,0,0
Patient_2_test_segment_450.mat,0.005,0.005
Patient_2_test_segment_451.mat,0.0005,0.0005
Patient_2_test_segment_452.mat,0.0175,0.01675
Patient_2_test_segment_453.mat,0.001,0.001
Patient_2_test_segment_454.mat,0.02075,0.02
Patient_2_test_segment_455.mat,0.013,0.013
Patient_2_test_segment_456.mat,0.00725,0.00725
Patient_2_test_segment_457.mat,0.40975,0.16725
Patient_2_test_segment_458.mat,0.0105,0.0105
Patient_2_test_segment_459.mat,0.025,0.02175
Patient_2_test_segment_46.mat,0.00475,0.00475
Patient_2_test_segment_460.mat,0.001,0.001
Patient_2_test_segment_461.mat,0.678,0.1125
Patient_2_test_segment_462.mat,0.00025,0.00025
Patient_2_test_segment_463.mat,0.00175,0.00175
Patient_2_test_segment_464.mat,0,0
Patient_2_test_segment_465.mat,0.0015,0.0015
Patient_2_test_segment_466.mat,0.01125,0.01075
Patient_2_test_segment_467.mat,0.002,0.00175
Patient_2_test_segment_468.mat,0.01075,0.01075
Patient_2_test_segment_469.mat,0.00525,0.00525
Patient_2_test_segment_47.mat,0.00175,0.00075
Patient_2_test_segment_470.mat,0.00275,0.00275
Patient_2_test_segment_471.mat,0.00125,0.00125
Patient_2_test_segment_472.mat,0.71,0.27125
Patient_2_test_segment_473.mat,0.005,0.005
Patient_2_test_segment_474.mat,0.65725,0.05175
Patient_2_test_segment_475.mat,0.00025,0.00025
Patient_2_test_segment_476.mat,0.00825,0.00825
Patient_2_test_segment_477.mat,0.001,0.001
Patient_2_test_segment_478.mat,0.001,0.001
Patient_2_test_segment_479.mat,0.00725,0.00725
Patient_2_test_segment_48.mat,0.023,0.02125
Patient_2_test_segment_480.mat,0.00975,0.00875
Patient_2_test_segment_481.mat,0,0
Patient_2_test_segment_482.mat,0.00175,0.00175
Patient_2_test_segment_483.mat,0.40975,0.17675
Patient_2_test_segment_484.mat,0.00075,0.00075
Patient_2_test_segment_485.mat,0.001,0.001
Patient_2_test_segment_486.mat,0.0125,0.01075
Patient_2_test_segment_487.mat,0.00225,0.00225
Patient_2_test_segment_488.mat,0.00225,0.00225
Patient_2_test_segment_489.mat,0,0
Patient_2_test_segment_49.mat,0.0095,0.0095
Patient_2_test_segment_490.mat,0.00175,0.00075
Patient_2_test_segment_491.mat,0.017,0.0155
Patient_2_test_segment_492.mat,0.01025,0.0085
Patient_2_test_segment_493.mat,0,0
Patient_2_test_segment_494.mat,0.0005,0.0005
Patient_2_test_segment_495.mat,0.041,0.0135
Patient_2_test_segment_496.mat,0.00375,0.00375
Patient_2_test_segment_497.mat,0.7715,0.02075
Patient_2_test_segment_498.mat,0,0
Patient_2_test_segment_499.mat,0.00025,0.00025
Patient_2_test_segment_5.mat,0.01,0.01
Patient_2_test_segment_50.mat,0.0085,0.0085
Patient_2_test_segment_500.mat,0.00225,0.00225
Patient_2_test_segment_501.mat,0.756,0.02875
Patient_2_test_segment_502.mat,0.01025,0.00925
Patient_2_test_segment_503.mat,0,0
Patient_2_test_segment_504.mat,0.00175,0.00175
Patient_2_test_segment_505.mat,0.0325,0.021
Patient_2_test_segment_506.mat,0.0025,0.0025
Patient_2_test_segment_507.mat,0.0225,0.02125
Patient_2_test_segment_508.mat,0.785,0.024
Patient_2_test_segment_509.mat,0.00475,0.00475
Patient_2_test_segment_51.mat,0.04875,0.02625
Patient_2_test_segment_510.mat,0.00175,0.00175
Patient_2_test_segment_511.mat,0.00675,0.00675
Patient_2_test_segment_512.mat,0,0
Patient_2_test_segment_513.mat,0,0
Patient_2_test_segment_514.mat,0.00075,0.00075
Patient_2_test_segment_515.mat,0.00075,0.00075
Patient_2_test_segment_516.mat,0,0
Patient_2_test_segment_517.mat,0.015,0.013
Patient_2_test_segment_518.mat,0.0095,0.0095
Patient_2_test_segment_519.mat,0.0045,0.0045
Patient_2_test_segment_52.mat,0.0025,0.0025
Patient_2_test_segment_520.mat,0,0
Patient_2_test_segment_521.mat,0.0005,0.0005
Patient_2_test_segment_522.mat,0.00675,0.00675
Patient_2_test_segment_523.mat,0.00025,0.00025
Patient_2_test_segment_524.mat,0.0015,0.0015
Patient_2_test_segment_525.mat,0.0145,0.01275
Patient_2_test_segment_526.mat,0.0005,0.0005
Patient_2_test_segment_527.mat,0.00225,0.00125
Patient_2_test_segment_528.mat,0.00775,0.007
Patient_2_test_segment_529.mat,0,0
Patient_2_test_segment_53.mat,0.003,0.003
Patient_2_test_segment_530.mat,0.0015,0.0015
Patient_2_test_segment_531.mat,0.00075,0.00075
Patient_2_test_segment_532.mat,0.00025,0.00025
Patient_2_test_segment_533.mat,0.61325,0.2275
Patient_2_test_segment_534.mat,0.0055,0.0045
Patient_2_test_segment_535.mat,0.00075,0.00075
Patient_2_test_segment_536.mat,0.00425,0.00425
Patient_2_test_segment_537.mat,0.3705,0.2635
Patient_2_test_segment_538.mat,0.00025,0.00025
Patient_2_test_segment_539.mat,0.00075,0.00075
Patient_2_test_segment_54.mat,0.00825,0.00825
Patient_2_test_segment_540.mat,0.008,0.008
Patient_2_test_segment_541.mat,0,0
Patient_2_test_segment_542.mat,0.72575,0.02575
Patient_2_test_segment_543.mat,0.004,0.004
Patient_2_test_segment_544.mat,0.0025,0.0025
Patient_2_test_segment_545.mat,0.00075,0.00075
Patient_2_test_segment_546.mat,0,0
Patient_2_test_segment_547.mat,0.0015,0.0015
Patient_2_test_segment_548.mat,0.00425,0.00425
Patient_2_test_segment_549.mat,0.00475,0.00475
Patient_2_test_segment_55.mat,0.014,0.0125
Patient_2_test_segment_550.mat,0,0
Patient_2_test_segment_551.mat,0.006,0.006
Patient_2_test_segment_552.mat,0.01325,0.01175
Patient_2_test_segment_553.mat,0.30175,0.14425
Patient_2_test_segment_554.mat,0.022,0.0175
Patient_2_test_segment_555.mat,0.7715,0.0225
Patient_2_test_segment_556.mat,0.00075,0.00075
Patient_2_test_segment_557.mat,0.00025,0.00025
Patient_2_test_segment_558.mat,0.00475,0.00475
Patient_2_test_segment_559.mat,0.003,0.003
Patient_2_test_segment_56.mat,0.0065,0.0065
Patient_2_test_segment_560.mat,0.0005,0.0005
Patient_2_test_segment_561.mat,0,0
Patient_2_test_segment_562.mat,0.0025,0.00225
Patient_2_test_segment_563.mat,0.012,0.01175
Patient_2_test_segment_564.mat,0.0035,0.00325
Patient_2_test_segment_565.mat,0.002,0.002
Patient_2_test_segment_566.mat,0.001,0.001
Patient_2_test_segment_567.mat,0.00175,0.00175
Patient_2_test_segment_568.mat,0.00425,0.00425
Patient_2_test_segment_569.mat,0.00725,0.00725
Patient_2_test_segment_57.mat,0,0
Patient_2_test_segment_570.mat,0.0015,0.0015
Patient_2_test_segment_571.mat,0.0105,0.0085
Patient_2_test_segment_572.mat,0.00775,0.00775
Patient_2_test_segment_573.mat,0,0
Patient_2_test_segment_574.mat,0.00075,0.00075
Patient_2_test_segment_575.mat,0.00025,0.00025
Patient_2_test_segment_576.mat,0,0
Patient_2_test_segment_577.mat,0.00025,0.00025
Patient_2_test_segment_578.mat,0.009,0.00825
Patient_2_test_segment_579.mat,0.0015,0.00025
Patient_2_test_segment_58.mat,0,0
Patient_2_test_segment_580.mat,0.026,0.0245
Patient_2_test_segment_581.mat,0.2165,0.11725
Patient_2_test_segment_582.mat,0.014,0.01375
Patient_2_test_segment_583.mat,0.00125,0.00125
Patient_2_test_segment_584.mat,0,0
Patient_2_test_segment_585.mat,0.0125,0.012
Patient_2_test_segment_586.mat,0,0
Patient_2_test_segment_587.mat,0.75625,0.03425
Patient_2_test_segment_588.mat,0.00725,0.006
Patient_2_test_segment_589.mat,0.06375,0.03525
Patient_2_test_segment_59.mat,0.12025,0.04975
Patient_2_test_segment_590.mat,0.00575,0.00575
Patient_2_test_segment_591.mat,0.01775,0.01525
Patient_2_test_segment_592.mat,0,0
Patient_2_test_segment_593.mat,0,0
Patient_2_test_segment_594.mat,0.00725,0.007
Patient_2_test_segment_595.mat,0.00775,0.006
Patient_2_test_segment_596.mat,0.0075,0.0075
Patient_2_test_segment_597.mat,0.00075,0.00075
Patient_2_test_segment_598.mat,0.0065,0.0065
Patient_2_test_segment_599.mat,0.00675,0.00675
Patient_2_test_segment_6.mat,0.0135,0.00975
Patient_2_test_segment_60.mat,0.77175,0.02175
Patient_2_test_segment_600.mat,0.00075,0.00075
Patient_2_test_segment_601.mat,0.0275,0.0225
Patient_2_test_segment_602.mat,0,0
Patient_2_test_segment_603.mat,0.009,0.00775
Patient_2_test_segment_604.mat,0.011,0.00975
Patient_2_test_segment_605.mat,0.001,0.001
Patient_2_test_segment_606.mat,0,0
Patient_2_test_segment_607.mat,0.001,0.001
Patient_2_test_segment_608.mat,0.00375,0.001
Patient_2_test_segment_609.mat,0.00075,0.00075
Patient_2_test_segment_61.mat,0.75,0.03025
Patient_2_test_segment_610.mat,0.002,0.002
Patient_2_test_segment_611.mat,0,0
Patient_2_test_segment_612.mat,0.00025,0.00025
Patient_2_test_segment_613.mat,0.00175,0.00175
Patient_2_test_segment_614.mat,0,0
Patient_2_test_segment_615.mat,0.00225,0.00225
Patient_2_test_segment_616.mat,0.76225,0.0245
Patient_2_test_segment_617.mat,0.004,0.004
Patient_2_test_segment_618.mat,0.01325,0.0125
Patient_2_test_segment_619.mat,0.00125,0.00125
Patient_2_test_segment_62.mat,0.0145,0.014
Patient_2_test_segment_620.mat,0.00725,0.00725
Patient_2_test_segment_621.mat,0.006,0.006
Patient_2_test_segment_622.mat,0.00225,0.002
Patient_2_test_segment_623.mat,0.75875,0.01625
Patient_2_test_segment_624.mat,0,0
Patient_2_test_segment_625.mat,0.018,0.01525
Patient_2_test_segment_626.mat,0.00275,0.00275
Patient_2_test_segment_627.mat,0.01025,0.00925
Patient_2_test_segment_628.mat,0.002,0.002
Patient_2_test_segment_629.mat,0.00225,0.00225
Patient_2_test_segment_63.mat,0.0005,0.00025
Patient_2_test_segment_630.mat,0,0
Patient_2_test_segment_631.mat,0.00875,0.007
Patient_2_test_segment_632.mat,0.005,0.0025
Patient_2_test_segment_633.mat,0,0
Patient_2_test_segment_634.mat,0,0
Patient_2_test_segment_635.mat,0.005,0.00325
Patient_2_test_segment_636.mat,0.01625,0.01575
Patient_2_test_segment_637.mat,0.00225,0.00225
Patient_2_test_segment_638.mat,0,0
Patient_2_test_segment_639.mat,0.00375,0.00375
Patient_2_test_segment_64.mat,0.00725,0.00725
Patient_2_test_segment_640.mat,0.00075,0.00075
Patient_2_test_segment_641.mat,0.0025,0.0025
Patient_2_test_segment_642.mat,0,0
Patient_2_test_segment_643.mat,0,0
Patient_2_test_segment_644.mat,0.02825,0.0275
Patient_2_test_segment_645.mat,0.01,0.008
Patient_2_test_segment_646.mat,0.00025,0
Patient_2_test_segment_647.mat,0.00275,0.00275
Patient_2_test_segment_648.mat,0.00375,0.00375
Patient_2_test_segment_649.mat,0.027,0.02375
Patient_2_test_segment_65.mat,0.00025,0.00025
Patient_2_test_segment_650.mat,0.7725,0.02625
Patient_2_test_segment_651.mat,0,0
Patient_2_test_segment_652.mat,0.02125,0.02
Patient_2_test_segment_653.mat,0.01675,0.01425
Patient_2_test_segment_654.mat,0.00225,0.00225
Patient_2_test_segment_655.mat,0,0
Patient_2_test_segment_656.mat,0.00225,0.00225
Patient_2_test_segment_657.mat,0.009,0.00875
Patient_2_test_segment_658.mat,0,0
Patient_2_test_segment_659.mat,0.5755,0.077
Patient_2_test_segment_66.mat,0,0
Patient_2_test_segment_660.mat,0.00025,0
Patient_2_test_segment_661.mat,0,0
Patient_2_test_segment_662.mat,0.0165,0.014
Patient_2_test_segment_663.mat,0.016,0.01575
Patient_2_test_segment_664.mat,0.0155,0.01275
Patient_2_test_segment_665.mat,0,0
Patient_2_test_segment_666.mat,0.0035,0.0035
Patient_2_test_segment_667.mat,0.00075,0.00075
Patient_2_test_segment_668.mat,0.136,0.055
Patient_2_test_segment_669.mat,0.7605,0.02475
Patient_2_test_segment_67.mat,0.0105,0.0105
Patient_2_test_segment_670.mat,0.0055,0.0055
Patient_2_test_segment_671.mat,0.01275,0.012
Patient_2_test_segment_672.mat,0.00125,0.0005
Patient_2_test_segment_673.mat,0.00575,0.00575
Patient_2_test_segment_674.mat,0.0005,0.0005
Patient_2_test_segment_675.mat,0.00325,0.00325
Patient_2_test_segment_676.mat,0.00075,0.00075
Patient_2_test_segment_677.mat,0.045,0.03
Patient_2_test_segment_678.mat,0,0
Patient_2_test_segment_679.mat,0.003,0.002
